time_AU,intensity
0.000000000000000000e+00,0.000000000000000000e+00
8.333333457509676905e-04,0.000000000000000000e+00
1.666666691501935381e-03,-4.399999852466862649e-06
2.500000037252903071e-03,-8.799999704933725297e-06
3.333333383003870762e-03,-1.299999985349131748e-05
4.166666728754838019e-03,-1.720000000204890966e-05
5.000000074505806143e-03,-2.119999953720252961e-05
5.833333420256773399e-03,-2.529999983380548656e-05
6.666666766007741524e-03,-2.920000042649917305e-05
7.500000111758708780e-03,-3.310000101919285953e-05
8.333333457509676037e-03,-3.690000085043720901e-05
9.166666803260644161e-03,-4.070000068168155849e-05
1.000000014901161229e-02,-4.450000051292590797e-05
1.083333349476258041e-02,-4.830000034417025745e-05
1.166666684051354680e-02,-5.210000017541460693e-05
1.250000018626451492e-02,-5.579999924520961940e-05
1.333333353201548305e-02,-5.949999831500463188e-05
1.416666687776644944e-02,-6.330000178422778845e-05
1.500000022351741756e-02,-6.710000161547213793e-05
1.583333356926838395e-02,-7.090000144671648741e-05
1.666666691501935207e-02,-7.470000127796083689e-05
1.750000026077032020e-02,-7.860000187065452337e-05
1.833333360652128832e-02,-8.260000322479754686e-05
1.916666695227225645e-02,-8.649999654153361917e-05
2.000000029802322457e-02,-9.059999865712597966e-05
2.083333364377419269e-02,-9.470000077271834016e-05
2.166666698952516082e-02,-9.889999637380242348e-05
2.250000033527612547e-02,-1.032000000122934580e-04
2.333333368102709360e-02,-1.074999963748268783e-04
2.416666702677806172e-02,-1.120000015362165868e-04
2.500000037252902985e-02,-1.164999994216486812e-04
2.583333371827999797e-02,-1.210999980685301125e-04
2.666666706403096609e-02,-1.256999967154115438e-04
2.750000040978193422e-02,-1.304000033996999264e-04
2.833333375553289887e-02,-1.351999962935224175e-04
2.916666710128386700e-02,-1.400000037392601371e-04
3.000000044703483512e-02,-1.448999973945319653e-04
3.083333379278580325e-02,-1.498000056017190218e-04
3.166666713853676790e-02,-1.548000000184401870e-04
3.250000048428773602e-02,-1.597999944351613522e-04
3.333333383003870415e-02,-1.648000034037977457e-04
3.416666717578967227e-02,-1.698999985819682479e-04
3.500000052154064040e-02,-1.748999929986894131e-04
3.583333386729160852e-02,-1.800000027287751436e-04
3.666666721304257665e-02,-1.849999971454963088e-04
3.750000055879354477e-02,-1.900000061141327024e-04
3.833333390454451289e-02,-1.950000005308538675e-04
3.916666725029548102e-02,-1.999999949475750327e-04
4.000000059604644914e-02,-2.049000031547620893e-04
4.083333394179741727e-02,-2.097999968100339174e-04
4.166666728754838539e-02,-2.146000042557716370e-04
4.250000063329935351e-02,-2.192999963881447911e-04
4.333333397905032164e-02,-2.240000030724331737e-04
4.416666732480128282e-02,-2.285999944433569908e-04
4.500000067055225095e-02,-2.332000003661960363e-04
4.583333401630321907e-02,-2.376000047661364079e-04
4.666666736205418720e-02,-2.419999946141615510e-04
4.750000070780515532e-02,-2.463000128045678139e-04
4.833333405355612344e-02,-2.503999858163297176e-04
4.916666739930709157e-02,-2.544999879319220781e-04
5.000000074505805969e-02,-2.584999892860651016e-04
5.083333409080902782e-02,-2.623999898787587881e-04
5.166666743655999594e-02,-2.661999897100031376e-04
5.250000078231096406e-02,-2.697999880183488131e-04
5.333333412806193219e-02,-2.733999863266944885e-04
5.416666747381290031e-02,-2.769000129774212837e-04
5.500000081956386844e-02,-2.803000097628682852e-04
5.583333416531483656e-02,-2.836000057868659496e-04
5.666666751106579775e-02,-2.868000010494142771e-04
5.750000085681676587e-02,-2.899999963119626045e-04
5.833333420256773399e-02,-2.929999900516122580e-04
5.916666754831870212e-02,-2.960000128950923681e-04
6.000000089406967024e-02,-2.990000066347420216e-04
6.083333423982063837e-02,-3.017999988514930010e-04
6.166666758557160649e-02,-3.046999918296933174e-04
6.250000093132257462e-02,-3.074000123888254166e-04
6.333333427707353580e-02,-3.102000046055763960e-04
6.416666762282451086e-02,-3.128999960608780384e-04
6.500000096857547205e-02,-3.155999875161796808e-04
6.583333431432644711e-02,-3.183000080753117800e-04
6.666666766007740830e-02,-3.209999995306134224e-04
6.750000100582838336e-02,-3.237999917473644018e-04
6.833333435157934455e-02,-3.265000123064965010e-04
6.916666769733031961e-02,-3.292000037617981434e-04
7.000000104308128079e-02,-3.319999959785491228e-04
7.083333438883225586e-02,-3.347999881953001022e-04
7.166666773458321704e-02,-3.377000102773308754e-04
7.250000108033419211e-02,-3.406000032555311918e-04
7.333333442608515329e-02,-3.434999962337315083e-04
7.416666777183612835e-02,-3.465999907348304987e-04
7.500000111758708954e-02,-3.497000143397599459e-04
7.583333446333805072e-02,-3.528000088408589363e-04
7.666666780908902579e-02,-3.561000048648566008e-04
7.750000115483998697e-02,-3.594000008888542652e-04
7.833333450059096204e-02,-3.627999976743012667e-04
7.916666784634192322e-02,-3.662999952211976051e-04
8.000000119209289828e-02,-3.698999935295432806e-04
8.083333453784385947e-02,-3.735999925993382931e-04
8.166666788359483453e-02,-3.773999924305826426e-04
8.250000122934579572e-02,-3.812999930232763290e-04
8.333333457509677078e-02,-3.853999951388686895e-04
8.416666792084773197e-02,-3.894999972544610500e-04
8.500000126659870703e-02,-3.938000008929520845e-04
8.583333461234966821e-02,-3.982000052928924561e-04
8.666666795810064328e-02,-4.027000104542821646e-04
8.750000130385160446e-02,-4.072999872732907534e-04
8.833333464960256565e-02,-4.119999939575791359e-04
8.916666799535354071e-02,-4.168000014033168554e-04
9.000000134110450190e-02,-4.218000103719532490e-04
9.083333468685547696e-02,-4.267999902367591858e-04
9.166666803260643814e-02,-4.318999999668449163e-04
9.250000137835741321e-02,-4.372000112198293209e-04
9.333333472410837439e-02,-4.423999926075339317e-04
9.416666806985934945e-02,-4.478000046219676733e-04
9.500000141561031064e-02,-4.531999875325709581e-04
9.583333476136128570e-02,-4.587000003084540367e-04
9.666666810711224689e-02,-4.643000138457864523e-04
9.750000145286322195e-02,-4.698999982792884111e-04
9.833333479861418314e-02,-4.755000118166208267e-04
9.916666814436515820e-02,-4.811999970115721226e-04
1.000000014901161194e-01,-4.869000113103538752e-04
1.008333348358670806e-01,-4.926000256091356277e-04
1.016666681816180556e-01,-4.984000115655362606e-04
1.025000015273690168e-01,-5.041999975219368935e-04
1.033333348731199919e-01,-5.099999834783375263e-04
1.041666682188709531e-01,-5.158000276423990726e-04
1.050000015646219281e-01,-5.216000135987997055e-04
1.058333349103728893e-01,-5.273999995552003384e-04
1.066666682561238644e-01,-5.330999847501516342e-04
1.075000016018748256e-01,-5.389000289142131805e-04
1.083333349476258006e-01,-5.446000141091644764e-04
1.091666682933767618e-01,-5.502999993041157722e-04
1.100000016391277369e-01,-5.558999837376177311e-04
1.108333349848786981e-01,-5.615000263787806034e-04
1.116666683306296731e-01,-5.670000100508332253e-04
1.125000016763806343e-01,-5.723999929614365101e-04
1.133333350221315955e-01,-5.776999751105904579e-04
1.141666683678825706e-01,-5.830000154674053192e-04
1.150000017136335317e-01,-5.881999968551099300e-04
1.158333350593845068e-01,-5.932999774813652039e-04
1.166666684051354680e-01,-5.983000155538320541e-04
1.175000017508864431e-01,-6.031999946571886539e-04
1.183333350966374042e-01,-6.079999729990959167e-04
1.191666684423883793e-01,-6.127000087872147560e-04
1.200000017881393405e-01,-6.173999863676726818e-04
1.208333351338903155e-01,-6.220000213943421841e-04
1.216666684796412767e-01,-6.264999974519014359e-04
1.225000018253922518e-01,-6.308999727480113506e-04
1.233333351711432130e-01,-6.353000062517821789e-04
1.241666685168941880e-01,-6.395999807864427567e-04
1.250000018626451492e-01,-6.438000127673149109e-04
1.258333352083961243e-01,-6.478999857790768147e-04
1.266666685541470716e-01,-6.520000169984996319e-04
1.275000018998980467e-01,-6.559999892488121986e-04
1.283333352456490217e-01,-6.600000197067856789e-04
1.291666685913999968e-01,-6.638999911956489086e-04
1.300000019371509441e-01,-6.677000201307237148e-04
1.308333352829019192e-01,-6.714999908581376076e-04
1.316666686286528942e-01,-6.753000197932124138e-04
1.325000019744038693e-01,-6.788999889977276325e-04
1.333333353201548166e-01,-6.826000171713531017e-04
1.341666686659057917e-01,-6.861999863758683205e-04
1.350000020116567667e-01,-6.897000130265951157e-04
1.358333353574077418e-01,-6.932999822311103344e-04
1.366666687031586891e-01,-6.968000088818371296e-04
1.375000020489096642e-01,-7.002999773249030113e-04
1.383333353946606392e-01,-7.039000047370791435e-04
1.391666687404115865e-01,-7.073999731801450253e-04
1.400000020861625616e-01,-7.108999998308718204e-04
1.408333354319135367e-01,-7.145000272430479527e-04
1.416666687776645117e-01,-7.179999956861138344e-04
1.425000021234154590e-01,-7.216000230982899666e-04
1.433333354691664341e-01,-7.252999930642545223e-04
1.441666688149174091e-01,-7.290000212378799915e-04
1.450000021606683842e-01,-7.326999912038445473e-04
1.458333355064193315e-01,-7.364000193774700165e-04
1.466666688521703066e-01,-7.402999908663332462e-04
1.475000021979212816e-01,-7.441000198014080524e-04
1.483333355436722567e-01,-7.479999912902712822e-04
1.491666688894232040e-01,-7.519000209867954254e-04
1.500000022351741791e-01,-7.559999939985573292e-04
1.508333355809251541e-01,-7.600000244565308094e-04
1.516666689266761014e-01,-7.640999974682927132e-04
1.525000022724270765e-01,-7.682000286877155304e-04
1.533333356181780516e-01,-7.724000024609267712e-04
1.541666689639290266e-01,-7.766999769955873489e-04
1.550000023096799739e-01,-7.810000097379088402e-04
1.558333356554309490e-01,-7.853999850340187550e-04
1.566666690011819241e-01,-7.898000185377895832e-04
1.575000023469328991e-01,-7.942999945953488350e-04
1.583333356926838464e-01,-7.988999714143574238e-04
1.591666690384348215e-01,-8.036000072024762630e-04
1.600000023841857966e-01,-8.082999847829341888e-04
1.608333357299367716e-01,-8.130000205710530281e-04
1.616666690756877189e-01,-8.177999989129602909e-04
1.625000024214386940e-01,-8.226999780163168907e-04
1.633333357671896691e-01,-8.276000153273344040e-04
1.641666691129406164e-01,-8.325999951921403408e-04
1.650000024586915914e-01,-8.375999750569462776e-04
1.658333358044425665e-01,-8.427000138908624649e-04
1.666666691501935416e-01,-8.477999945171177387e-04
1.675000024959444889e-01,-8.528999751433730125e-04
1.683333358416954639e-01,-8.580000139772891998e-04
1.691666691874464390e-01,-8.631999953649938107e-04
1.700000025331974141e-01,-8.682999759912490845e-04
1.708333358789483614e-01,-8.735000155866146088e-04
1.716666692246993364e-01,-8.785999962128698826e-04
1.725000025704503115e-01,-8.837999776005744934e-04
1.733333359162012866e-01,-8.890000171959400177e-04
1.741666692619522339e-01,-8.940999978221952915e-04
1.750000026077032089e-01,-8.991999784484505653e-04
1.758333359534541840e-01,-9.043000172823667526e-04
1.766666692992051313e-01,-9.093999979086220264e-04
1.775000026449561064e-01,-9.143999777734279633e-04
1.783333359907070814e-01,-9.194000158458948135e-04
1.791666693364580565e-01,-9.242999949492514133e-04
1.800000026822090038e-01,-9.291999740526080132e-04
1.808333360279599789e-01,-9.340000106021761894e-04
1.816666693737109539e-01,-9.387999889440834522e-04
1.825000027194619290e-01,-9.436000254936516285e-04
1.833333360652128763e-01,-9.482000023126602173e-04
1.841666694109638513e-01,-9.527999791316688061e-04
1.850000027567148264e-01,-9.573000133968889713e-04
1.858333361024658015e-01,-9.617999894544482231e-04
1.866666694482167488e-01,-9.661000221967697144e-04
1.875000027939677238e-01,-9.703999967314302921e-04
1.883333361397186989e-01,-9.746000287123024464e-04
1.891666694854696462e-01,-9.788000024855136871e-04
1.900000028312206213e-01,-9.828000329434871674e-04
1.908333361769715963e-01,-9.867999469861388206e-04
1.916666695227225714e-01,-9.906999766826629639e-04
1.925000028684735187e-01,-9.945000056177377701e-04
1.933333362142244938e-01,-9.983000345528125763e-04
1.941666695599754688e-01,-1.001999946311116219e-03
1.950000029057264439e-01,-1.005599973723292351e-03
1.958333362514773912e-01,-1.009200001135468483e-03
1.966666695972283663e-01,-1.012700027786195278e-03
1.975000029429793413e-01,-1.016200054436922073e-03
1.983333362887303164e-01,-1.019599963910877705e-03
1.991666696344812637e-01,-1.022999989800155163e-03
2.000000029802322388e-01,-1.026300014927983284e-03
2.008333363259832138e-01,-1.029600040055811405e-03
2.016666696717341611e-01,-1.032899948768317699e-03
2.025000030174851362e-01,-1.036199973896145821e-03
2.033333363632361113e-01,-1.039399998262524605e-03
2.041666697089870863e-01,-1.042700023390352726e-03
2.050000030547380336e-01,-1.045900047756731510e-03
2.058333364004890087e-01,-1.049199956469237804e-03
2.066666697462399838e-01,-1.052499981597065926e-03
2.075000030919909588e-01,-1.055800006724894047e-03
2.083333364377419061e-01,-1.059100031852722168e-03
2.091666697834928812e-01,-1.062500057741999626e-03
2.100000031292438563e-01,-1.065899967215955257e-03
2.108333364749948313e-01,-1.069299993105232716e-03
2.116666698207457786e-01,-1.072800019755959511e-03
2.125000031664967537e-01,-1.076400047168135643e-03
2.133333365122477288e-01,-1.079999958164989948e-03
2.141666698579986761e-01,-1.083599985577166080e-03
2.150000032037496511e-01,-1.087300013750791550e-03
2.158333365495006262e-01,-1.091100042685866356e-03
2.166666698952516013e-01,-1.094999955967068672e-03
2.175000032410025486e-01,-1.098899985663592815e-03
2.183333365867535236e-01,-1.102800015360116959e-03
2.191666699325044987e-01,-1.106900046579539776e-03
2.200000032782554737e-01,-1.110999961383640766e-03
2.208333366240064211e-01,-1.115199993364512920e-03
2.216666699697573961e-01,-1.119500026106834412e-03
2.225000033155083712e-01,-1.123799942433834076e-03
2.233333366612593462e-01,-1.128199975937604904e-03
2.241666700070102936e-01,-1.132700010202825069e-03
2.250000033527612686e-01,-1.137200044468045235e-03
2.258333366985122437e-01,-1.141799963079392910e-03
2.266666700442631910e-01,-1.146399998106062412e-03
2.275000033900141660e-01,-1.151100033894181252e-03
2.283333367357651411e-01,-1.155799953266978264e-03
2.291666700815161162e-01,-1.160599989816546440e-03
2.300000034272670635e-01,-1.165400026366114616e-03
2.308333367730180385e-01,-1.170199946500360966e-03
2.316666701187690136e-01,-1.175099983811378479e-03
2.325000034645199887e-01,-1.179900020360946655e-03
2.333333368102709360e-01,-1.184800057671964169e-03
2.341666701560219110e-01,-1.189599977806210518e-03
2.350000035017728861e-01,-1.194400014355778694e-03
2.358333368475238612e-01,-1.199200050905346870e-03
2.366666701932748085e-01,-1.203999971039593220e-03
2.375000035390257835e-01,-1.208700006827712059e-03
2.383333368847767586e-01,-1.213400042615830898e-03
2.391666702305277059e-01,-1.217999961227178574e-03
2.400000035762786810e-01,-1.222599996253848076e-03
2.408333369220296560e-01,-1.227100030519068241e-03
2.416666702677806311e-01,-1.231499947607517242e-03
2.425000036135315784e-01,-1.235799980349838734e-03
2.433333369592825535e-01,-1.240100013092160225e-03
2.441666703050335285e-01,-1.244200044311583042e-03
2.450000036507845036e-01,-1.248299959115684032e-03
2.458333369965354509e-01,-1.252199988812208176e-03
2.466666703422864260e-01,-1.256000017747282982e-03
2.475000036880374010e-01,-1.259700045920908451e-03
2.483333370337883761e-01,-1.263199956156313419e-03
2.491666703795393234e-01,-1.266699982807040215e-03
2.500000037252902985e-01,-1.270000007934868336e-03
2.508333370710412735e-01,-1.273100031539797783e-03
2.516666704167922486e-01,-1.276200055144727230e-03
2.525000037625432237e-01,-1.278999960049986839e-03
2.533333371082941432e-01,-1.281799981370568275e-03
2.541666704540451183e-01,-1.284400001168251038e-03
2.550000037997960933e-01,-1.286800019443035126e-03
2.558333371455470684e-01,-1.289200037717819214e-03
2.566666704912980435e-01,-1.291400054469704628e-03
2.575000038370490185e-01,-1.293399953283369541e-03
2.583333371827999936e-01,-1.295399968512356281e-03
2.591666705285509686e-01,-1.297199982218444347e-03
2.600000038743018882e-01,-1.298899995163083076e-03
2.608333372200528633e-01,-1.300500007346272469e-03
2.616666705658038383e-01,-1.301900018006563187e-03
2.625000039115548134e-01,-1.303300028666853905e-03
2.633333372573057884e-01,-1.304600038565695286e-03
2.641666706030567635e-01,-1.305800047703087330e-03
2.650000039488077386e-01,-1.306900056079030037e-03
2.658333372945586581e-01,-1.307999948039650917e-03
2.666666706403096332e-01,-1.308999955654144287e-03
2.675000039860606083e-01,-1.309999963268637657e-03
2.683333373318115833e-01,-1.310899970121681690e-03
2.691666706775625584e-01,-1.311799976974725723e-03
2.700000040233135334e-01,-1.312699983827769756e-03
2.708333373690645085e-01,-1.313599990680813789e-03
2.716666707148154836e-01,-1.314499997533857822e-03
2.725000040605664031e-01,-1.315400004386901855e-03
2.733333374063173782e-01,-1.316300011239945889e-03
2.741666707520683532e-01,-1.317300018854439259e-03
