Peak #	Retention time (min)	Height	Area	Width (min)
1	2.49	186248.55	1108903.25	0.097
2	3.13	280625.56	1270578.25	0.077
3	13.81	81195.66	672110.62	0.128
4	19.16	204515.56	1444978.5	0.108
5	19.6	39888972.0	337348960.0	0.132
6	20.32	129964.7	1201312.25	0.199
7	20.5	53829.18	405145.0	0.242
8	20.68	66254.34	713449.06	0.193
9	21.22	35370.07	239712.88	0.101
10	21.49	510855.44	3385918.5	0.102
11	22.51	134615.23	986828.62	0.111
12	23.16	25438.64	234168.97	0.134
13	23.51	30532.07	192940.84	0.092
14	23.81	85891.3	1046044.56	0.194
15	24.96	246448.36	1682016.25	0.101
16	26.13	45730.82	320258.94	0.112
17	26.33	329052.62	2232388.0	0.101
18	27.01	464980.03	3202778.5	0.103
