index,raw_tick_uint32,intensity_int16,endianness
0,0,0,LE
1,21,0,LE
2,4294180864,-1,LE
3,0,-47,LE
4,65535,0,LE
5,4294967215,0,LE
6,4287430656,-1,LE
7,0,-150,LE
8,65535,0,LE
9,4294967112,0,LE
10,4280614912,-1,LE
11,0,-253,LE
12,65535,0,LE
13,4294967008,0,LE
14,4273799168,-1,LE
15,0,-358,LE
16,65535,0,LE
17,4294966902,0,LE
18,4266852352,-1,LE
19,0,-465,LE
20,65535,0,LE
21,4294966794,0,LE
22,4259708928,-1,LE
23,0,-575,LE
24,65535,0,LE
25,4294966684,0,LE
26,4252434432,-1,LE
27,0,-687,LE
28,65535,0,LE
29,4294966571,0,LE
30,4244963328,-1,LE
31,0,-801,LE
32,65535,0,LE
33,4294966456,0,LE
34,4237426688,-1,LE
35,0,-917,LE
36,65535,0,LE
37,4294966341,0,LE
38,4229890048,-1,LE
39,0,-1031,LE
40,65535,0,LE
41,4294966227,0,LE
42,4222418944,-1,LE
43,0,-1144,LE
44,65535,0,LE
45,4294966116,0,LE
46,4215209984,-1,LE
47,0,-1253,LE
48,65535,0,LE
49,4294966008,0,LE
50,4208263168,-1,LE
51,0,-1357,LE
52,65535,0,LE
53,4294965905,0,LE
54,4201644032,-1,LE
55,0,-1457,LE
56,65535,0,LE
57,4294965807,0,LE
58,4195352576,-1,LE
59,0,-1551,LE
60,65535,0,LE
61,4294965715,0,LE
62,4189388800,-1,LE
63,0,-1640,LE
64,65535,0,LE
65,4294965627,0,LE
66,4183752704,-1,LE
67,0,-1726,LE
68,65535,0,LE
69,4294965542,0,LE
70,4178182144,-1,LE
71,0,-1810,LE
72,65535,0,LE
73,4294965458,0,LE
74,4172677120,-1,LE
75,0,-1894,LE
76,65535,0,LE
77,4294965373,0,LE
78,4167041024,-1,LE
79,0,-1981,LE
80,65535,0,LE
81,4294965285,0,LE
82,4161142784,-1,LE
83,0,-2073,LE
84,65535,0,LE
85,4294965191,0,LE
86,4154851328,-1,LE
87,0,-2172,LE
88,65535,0,LE
89,4294965090,0,LE
90,4148101120,-1,LE
91,0,-2277,LE
92,65535,0,LE
93,4294964982,0,LE
94,4140892160,-1,LE
95,0,-2390,LE
96,65535,0,LE
97,4294964867,0,LE
98,4133224448,-1,LE
99,0,-2509,LE
100,65535,0,LE
101,4294964747,0,LE
102,4125163520,-1,LE
103,0,-2633,LE
104,65535,0,LE
105,4294964621,0,LE
106,4116840448,-1,LE
107,0,-2761,LE
108,65535,0,LE
109,4294964492,0,LE
110,4108386304,-1,LE
111,0,-2890,LE
112,65535,0,LE
113,4294964363,0,LE
114,4099997696,-1,LE
115,0,-3017,LE
116,65535,0,LE
117,4294964238,0,LE
118,4091871232,-1,LE
119,0,-3139,LE
120,65535,0,LE
121,4294964119,0,LE
122,4084269056,-1,LE
123,0,-3252,LE
124,65535,0,LE
125,4294964009,0,LE
126,4077322240,-1,LE
127,0,-3354,LE
128,65535,0,LE
129,4294963911,0,LE
130,4071161856,-1,LE
131,0,-3444,LE
132,65535,0,LE
133,4294963825,0,LE
134,4065787904,-1,LE
135,0,-3522,LE
136,65535,0,LE
137,4294963751,0,LE
138,4061200384,-1,LE
139,0,-3587,LE
140,65535,0,LE
141,4294963690,0,LE
142,4057464832,-1,LE
143,0,-3641,LE
144,65535,0,LE
145,4294963639,0,LE
146,4054384640,-1,LE
147,0,-3684,LE
148,65535,0,LE
149,4294963599,0,LE
150,4051959808,-1,LE
151,0,-3719,LE
152,65535,0,LE
153,4294963568,0,LE
154,4050059264,-1,LE
155,0,-3745,LE
156,65535,0,LE
157,4294963543,0,LE
158,4048551936,-1,LE
159,0,-3767,LE
160,65535,0,LE
161,4294963523,0,LE
162,4047306752,-1,LE
163,0,-3786,LE
164,65535,0,LE
165,4294963504,0,LE
166,4046061568,-1,LE
167,0,-3804,LE
168,65535,0,LE
169,4294963486,0,LE
170,4044881920,-1,LE
171,0,-3823,LE
172,65535,0,LE
173,4294963466,0,LE
174,4043571200,-1,LE
175,0,-3844,LE
176,65535,0,LE
177,4294963445,0,LE
178,4042063872,-1,LE
179,0,-3867,LE
180,65535,0,LE
181,4294963421,0,LE
182,4040491008,-1,LE
183,0,-3892,LE
184,65535,0,LE
185,4294963395,0,LE
186,4038721536,-1,LE
187,0,-3920,LE
188,65535,0,LE
189,4294963366,0,LE
190,4036755456,-1,LE
191,0,-3951,LE
192,65535,0,LE
193,4294963334,0,LE
194,4034592768,-1,LE
195,0,-3985,LE
196,65535,0,LE
197,4294963299,0,LE
198,4032233472,-1,LE
199,0,-4022,LE
200,65535,0,LE
201,4294963262,0,LE
202,4029743104,-1,LE
203,0,-4061,LE
