time_AU,intensity
0.000000000000000000e+00,0.000000000000000000e+00
8.333333457509676905e-04,0.000000000000000000e+00
1.666666691501935381e-03,-2.400000084890052676e-06
2.500000037252903071e-03,-4.699999863078119233e-06
3.333333383003870762e-03,-7.000000096013536677e-06
4.166666728754838019e-03,-9.200000022246968001e-06
5.000000074505806143e-03,-1.140000040322775021e-05
5.833333420256773399e-03,-1.340000017080456018e-05
6.666666766007741524e-03,-1.540000084787607193e-05
7.500000111758708780e-03,-1.730000076349824667e-05
8.333333457509676037e-03,-1.909999991767108440e-05
9.166666803260644161e-03,-2.080000012938398868e-05
1.000000014901161229e-02,-2.250000034109689295e-05
1.083333349476258041e-02,-2.400000084890052676e-05
1.166666684051354680e-02,-2.549999953771475703e-05
1.250000018626451492e-02,-2.680000034160912037e-05
1.333333353201548305e-02,-2.809999932651408017e-05
1.416666687776644944e-02,-2.929999936895910650e-05
1.500000022351741756e-02,-3.049999941140413284e-05
1.583333356926838395e-02,-3.160000051138922572e-05
1.666666691501935207e-02,-3.260000084992498159e-05
1.750000026077032020e-02,-3.360000118846073747e-05
1.833333360652128832e-02,-3.450000076554715633e-05
1.916666695227225645e-02,-3.540000034263357520e-05
2.000000029802322457e-02,-3.629999991971999407e-05
2.083333364377419269e-02,-3.709999873535707593e-05
2.166666698952516082e-02,-3.790000118897296488e-05
2.250000033527612547e-02,-3.870000000461004674e-05
2.333333368102709360e-02,-3.949999882024712861e-05
2.416666702677806172e-02,-4.020000051241368055e-05
2.500000037252902985e-02,-4.099999932805076241e-05
2.583333371827999797e-02,-4.170000102021731436e-05
2.666666706403096609e-02,-4.249999983585439622e-05
2.750000040978193422e-02,-4.329999865149147809e-05
2.833333375553289887e-02,-4.410000110510736704e-05
2.916666710128386700e-02,-4.489999992074444890e-05
3.000000044703483512e-02,-4.579999949783086777e-05
3.083333379278580325e-02,-4.669999907491728663e-05
3.166666713853676790e-02,-4.769999941345304251e-05
3.250000048428773602e-02,-4.880000051343813539e-05
3.333333383003870415e-02,-4.990000161342322826e-05
3.416666717578967227e-02,-5.109999983687885106e-05
3.500000052154064040e-02,-5.239999882178381085e-05
3.583333386729160852e-02,-5.379999856813810766e-05
3.666666721304257665e-02,-5.529999907594174147e-05
3.750000055879354477e-02,-5.679999958374537528e-05
3.833333390454451289e-02,-5.840000085299834609e-05
3.916666725029548102e-02,-6.020000000717118382e-05
4.000000059604644914e-02,-6.199999916134402156e-05
4.083333394179741727e-02,-6.389999907696619630e-05
4.166666728754838539e-02,-6.589999975403770804e-05
4.250000063329935351e-02,-6.800000119255855680e-05
4.333333397905032164e-02,-7.020000339252874255e-05
4.416666732480128282e-02,-7.249999907799065113e-05
4.500000067055225095e-02,-7.480000203941017389e-05
4.583333401630321907e-02,-7.719999848632141948e-05
4.666666736205418720e-02,-7.970000297063961625e-05
4.750000070780515532e-02,-8.230000094044953585e-05
4.833333405355612344e-02,-8.499999967170879245e-05
4.916666739930709157e-02,-8.769999840296804905e-05
5.000000074505805969e-02,-9.049999789567664266e-05
5.083333409080902782e-02,-9.329999738838523626e-05
5.166666743655999594e-02,-9.619999764254316688e-05
5.250000078231096406e-02,-9.919999865815043449e-05
5.333333412806193219e-02,-1.020999989123083651e-04
5.416666747381290031e-02,-1.052000006893649697e-04
5.500000081956386844e-02,-1.082000017049722373e-04
5.583333416531483656e-02,-1.113000034820288420e-04
5.666666751106579775e-02,-1.143999979831278324e-04
5.750000085681676587e-02,-1.174999997601844370e-04
5.833333420256773399e-02,-1.207000022986903787e-04
5.916666754831870212e-02,-1.237999967997893691e-04
6.000000089406967024e-02,-1.269000058528035879e-04
6.083333423982063837e-02,-1.300000003539025784e-04
6.166666758557160649e-02,-1.329999940935522318e-04
6.250000093132257462e-02,-1.361000031465664506e-04
6.333333427707353580e-02,-1.390999968862161040e-04
6.416666762282451086e-02,-1.421000051777809858e-04
6.500000096857547205e-02,-1.449999981559813023e-04
6.583333431432644711e-02,-1.479000056860968471e-04
6.666666766007740830e-02,-1.507999986642971635e-04
6.750000100582838336e-02,-1.536000054329633713e-04
6.833333435157934455e-02,-1.563999976497143507e-04
6.916666769733031961e-02,-1.591000036569312215e-04
7.000000104308128079e-02,-1.616999943507835269e-04
7.083333438883225586e-02,-1.644000003580003977e-04
7.166666773458321704e-02,-1.669000048423185945e-04
7.250000108033419211e-02,-1.693999947747215629e-04
7.333333442608515329e-02,-1.717999984975904226e-04
7.416666777183612835e-02,-1.742000022204592824e-04
7.500000111758708954e-02,-1.765000051818788052e-04
7.583333446333805072e-02,-1.787999935913830996e-04
7.666666780908902579e-02,-1.808999950299039483e-04
7.750000115483998697e-02,-1.829999964684247971e-04
7.833333450059096204e-02,-1.849999971454963088e-04
7.916666784634192322e-02,-1.869999978225678205e-04
8.000000119209289828e-02,-1.887999969767406583e-04
8.083333453784385947e-02,-1.905999961309134960e-04
8.166666788359483453e-02,-1.922999945236369967e-04
8.250000122934579572e-02,-1.939000067068263888e-04
8.333333457509677078e-02,-1.955000043381005526e-04
8.416666792084773197e-02,-1.970000012079253793e-04
8.500000126659870703e-02,-1.983999973163008690e-04
8.583333461234966821e-02,-1.997999934246763587e-04
8.666666795810064328e-02,-2.011000033235177398e-04
8.750000130385160446e-02,-2.022999979089945555e-04
8.833333464960256565e-02,-2.034000062849372625e-04
8.916666799535354071e-02,-2.045000001089647412e-04
9.000000134110450190e-02,-2.054999931715428829e-04
9.083333468685547696e-02,-2.064000000245869160e-04
9.166666803260643814e-02,-2.073000068776309490e-04
9.250000137835741321e-02,-2.080999984173104167e-04
9.333333472410837439e-02,-2.088000037474557757e-04
9.416666806985934945e-02,-2.094999945256859064e-04
9.500000141561031064e-02,-2.100999990943819284e-04
9.583333476136128570e-02,-2.106000029016286135e-04
9.666666810711224689e-02,-2.111000067088752985e-04
9.750000145286322195e-02,-2.114999952027574182e-04
9.833333479861418314e-02,-2.117999974871054292e-04
9.916666814436515820e-02,-2.120999997714534402e-04
1.000000014901161194e-01,-2.124000020558014512e-04
1.008333348358670806e-01,-2.126000035787001252e-04
1.016666681816180556e-01,-2.127000043401494622e-04
1.025000015273690168e-01,-2.129000058630481362e-04
1.033333348731199919e-01,-2.130000066244974732e-04
1.041666682188709531e-01,-2.130999928340315819e-04
1.050000015646219281e-01,-2.131999935954809189e-04
1.058333349103728893e-01,-2.132999943569302559e-04
1.066666682561238644e-01,-2.132999943569302559e-04
1.075000016018748256e-01,-2.133999951183795929e-04
1.083333349476258006e-01,-2.133999951183795929e-04
1.091666682933767618e-01,-2.134999958798289299e-04
1.100000016391277369e-01,-2.135999966412782669e-04
1.108333349848786981e-01,-2.136999974027276039e-04
1.116666683306296731e-01,-2.137999981641769409e-04
1.125000016763806343e-01,-2.138999989256262779e-04
1.133333350221315955e-01,-2.141000004485249519e-04
1.141666683678825706e-01,-2.143000019714236259e-04
1.150000017136335317e-01,-2.145000034943223000e-04
1.158333350593845068e-01,-2.148000057786703110e-04
1.166666684051354680e-01,-2.151999942725524306e-04
1.175000017508864431e-01,-2.155999973183497787e-04
1.183333350966374042e-01,-2.160000003641471267e-04
1.191666684423883793e-01,-2.165000041713938117e-04
1.200000017881393405e-01,-2.170999941881746054e-04
1.208333351338903155e-01,-2.176999987568706274e-04
1.216666684796412767e-01,-2.184000040870159864e-04
1.225000018253922518e-01,-2.191999956266954541e-04
1.233333351711432130e-01,-2.201000024797394872e-04
1.241666685168941880e-01,-2.209999947808682919e-04
1.250000018626451492e-01,-2.220000023953616619e-04
1.258333352083961243e-01,-2.230999962193891406e-04
1.266666685541470716e-01,-2.242000045953318477e-04
1.275000018998980467e-01,-2.253999991808086634e-04
1.283333352456490217e-01,-2.266999945277348161e-04
1.291666685913999968e-01,-2.281000051880255342e-04
1.300000019371509441e-01,-2.295000012964010239e-04
1.308333352829019192e-01,-2.308999974047765136e-04
1.316666686286528942e-01,-2.324999950360506773e-04
1.325000019744038693e-01,-2.340000064577907324e-04
1.333333353201548166e-01,-2.356000040890648961e-04
1.341666686659057917e-01,-2.373000024817883968e-04
1.350000020116567667e-01,-2.390000008745118976e-04
1.358333353574077418e-01,-2.406999992672353983e-04
1.366666687031586891e-01,-2.424999984214082360e-04
1.375000020489096642e-01,-2.442999975755810738e-04
1.383333353946606392e-01,-2.461000112816691399e-04
1.391666687404115865e-01,-2.478999958839267492e-04
1.400000020861625616e-01,-2.498000103514641523e-04
1.408333354319135367e-01,-2.516999957151710987e-04
1.416666687776645117e-01,-2.535000094212591648e-04
1.425000021234154590e-01,-2.553999947849661112e-04
1.433333354691664341e-01,-2.573000092525035143e-04
1.441666688149174091e-01,-2.591999946162104607e-04
1.450000021606683842e-01,-2.612000098451972008e-04
1.458333355064193315e-01,-2.630999952089041471e-04
1.466666688521703066e-01,-2.650000096764415503e-04
1.475000021979212816e-01,-2.668999950401484966e-04
1.483333355436722567e-01,-2.688000095076858997e-04
1.491666688894232040e-01,-2.706999948713928461e-04
1.500000022351741791e-01,-2.725000085774809122e-04
1.508333355809251541e-01,-2.743999939411878586e-04
1.516666689266761014e-01,-2.763000084087252617e-04
1.525000022724270765e-01,-2.781999937724322081e-04
1.533333356181780516e-01,-2.800000074785202742e-04
1.541666689639290266e-01,-2.818999928422272205e-04
1.550000023096799739e-01,-2.838000073097646236e-04
1.558333356554309490e-01,-2.856999926734715700e-04
1.566666690011819241e-01,-2.875000063795596361e-04
1.575000023469328991e-01,-2.893999917432665825e-04
1.583333356926838464e-01,-2.914000069722533226e-04
1.591666690384348215e-01,-2.932999923359602690e-04
1.600000023841857966e-01,-2.953000075649470091e-04
1.608333357299367716e-01,-2.971999929286539555e-04
1.616666690756877189e-01,-2.993000089190900326e-04
1.625000024214386940e-01,-3.012999950442463160e-04
1.633333357671896691e-01,-3.034000110346823931e-04
1.641666691129406164e-01,-3.054999979212880135e-04
1.650000024586915914e-01,-3.076000139117240906e-04
1.658333358044425665e-01,-3.098000015597790480e-04
1.666666691501935416e-01,-3.119999892078340054e-04
1.675000024959444889e-01,-3.143000067211687565e-04
1.683333358416954639e-01,-3.166999958921223879e-04
1.691666691874464390e-01,-3.190000134054571390e-04
1.700000025331974141e-01,-3.215000033378601074e-04
1.708333358789483614e-01,-3.239999932702630758e-04
1.716666692246993364e-01,-3.265000123064965010e-04
1.725000025704503115e-01,-3.291000030003488064e-04
1.733333359162012866e-01,-3.316999936942011118e-04
1.741666692619522339e-01,-3.344000142533332109e-04
1.750000026077032089e-01,-3.372000064700841904e-04
1.758333359534541840e-01,-3.399999986868351698e-04
1.766666692992051313e-01,-3.427999909035861492e-04
1.775000026449561064e-01,-3.457000129856169224e-04
1.783333359907070814e-01,-3.485000052023679018e-04
1.791666693364580565e-01,-3.514999989420175552e-04
1.800000026822090038e-01,-3.543999919202178717e-04
1.808333360279599789e-01,-3.573999856598675251e-04
1.816666693737109539e-01,-3.603000077418982983e-04
1.825000027194619290e-01,-3.633000014815479517e-04
1.833333360652128763e-01,-3.662999952211976051e-04
1.841666694109638513e-01,-3.691999881993979216e-04
1.850000027567148264e-01,-3.722000110428780317e-04
1.858333361024658015e-01,-3.751000040210783482e-04
1.866666694482167488e-01,-3.778999962378293276e-04
1.875000027939677238e-01,-3.806999884545803070e-04
1.883333361397186989e-01,-3.835000097751617432e-04
1.891666694854696462e-01,-3.862000012304633856e-04
1.900000028312206213e-01,-3.888999926857650280e-04
1.908333361769715963e-01,-3.915000124834477901e-04
1.916666695227225714e-01,-3.940000024158507586e-04
1.925000028684735187e-01,-3.963999915868043900e-04
1.933333362142244938e-01,-3.987000091001391411e-04
1.941666695599754688e-01,-4.008999967481940985e-04
1.950000029057264439e-01,-4.030000127386301756e-04
1.958333362514773912e-01,-4.049999988637864590e-04
1.966666695972283663e-01,-4.068000125698745251e-04
1.975000029429793413e-01,-4.084999964106827974e-04
1.983333362887303164e-01,-4.101000085938721895e-04
1.991666696344812637e-01,-4.114999901503324509e-04
2.000000029802322388e-01,-4.128000000491738319e-04
2.008333363259832138e-01,-4.139000084251165390e-04
2.016666696717341611e-01,-4.148999869357794523e-04
2.025000030174851362e-01,-4.156999930273741484e-04
2.033333363632361113e-01,-4.162999975960701704e-04
2.041666697089870863e-01,-4.168000014033168554e-04
2.050000030547380336e-01,-4.172000044491142035e-04
2.058333364004890087e-01,-4.173000052105635405e-04
2.066666697462399838e-01,-4.174000059720128775e-04
2.075000030919909588e-01,-4.172000044491142035e-04
2.083333364377419061e-01,-4.170000029262155294e-04
2.091666697834928812e-01,-4.164999991189688444e-04
2.100000031292438563e-01,-4.159999953117221594e-04
2.108333364749948313e-01,-4.152999899815768003e-04
2.116666698207457786e-01,-4.145000129938125610e-04
2.125000031664967537e-01,-4.135000053793191910e-04
2.133333365122477288e-01,-4.123999970033764839e-04
2.141666698579986761e-01,-4.111999878659844398e-04
2.150000032037496511e-01,-4.099000070709735155e-04
2.158333365495006262e-01,-4.085999971721321344e-04
2.166666698952516013e-01,-4.070999857503920794e-04
2.175000032410025486e-01,-4.055000026710331440e-04
2.183333365867535236e-01,-4.037999897263944149e-04
2.191666699325044987e-01,-4.021000058855861425e-04
2.200000032782554737e-01,-4.002999921794980764e-04
2.208333366240064211e-01,-3.984000068157911301e-04
2.216666699697573961e-01,-3.964999923482537270e-04
2.225000033155083712e-01,-3.945000062230974436e-04
2.233333366612593462e-01,-3.924999909941107035e-04
2.241666700070102936e-01,-3.904000041075050831e-04
2.250000033527612686e-01,-3.883999888785183430e-04
2.258333366985122437e-01,-3.863000019919127226e-04
2.266666700442631910e-01,-3.841999860014766455e-04
2.275000033900141660e-01,-3.821999998763203621e-04
2.283333367357651411e-01,-3.801000129897147417e-04
2.291666700815161162e-01,-3.780999977607280016e-04
2.300000034272670635e-01,-3.761000116355717182e-04
2.308333367730180385e-01,-3.740999964065849781e-04
2.316666701187690136e-01,-3.721000102814286947e-04
2.325000034645199887e-01,-3.702999965753406286e-04
2.333333368102709360e-01,-3.684000112116336823e-04
2.341666701560219110e-01,-3.665999975055456161e-04
2.350000035017728861e-01,-3.649000136647373438e-04
2.358333368475238612e-01,-3.632000007200986147e-04
2.366666701932748085e-01,-3.616999892983585596e-04
2.375000035390257835e-01,-3.602000069804489613e-04
2.383333368847767586e-01,-3.586999955587089062e-04
2.391666702305277059e-01,-3.573999856598675251e-04
2.400000035762786810e-01,-3.562000056263059378e-04
2.408333369220296560e-01,-3.549999964889138937e-04
2.416666702677806311e-01,-3.538999881129711866e-04
2.425000036135315784e-01,-3.530000103637576103e-04
2.433333369592825535e-01,-3.521000035107135773e-04
2.441666703050335285e-01,-3.513999981805682182e-04
2.450000036507845036e-01,-3.507999936118721962e-04
2.458333369965354509e-01,-3.502999898046255112e-04
2.466666703422864260e-01,-3.498999867588281631e-04
2.475000036880374010e-01,-3.496000135783106089e-04
2.483333370337883761e-01,-3.494000120554119349e-04
2.491666703795393234e-01,-3.494000120554119349e-04
2.500000037252902985e-01,-3.495000128168612719e-04
2.508333370710412735e-01,-3.497000143397599459e-04
2.516666704167922486e-01,-3.500999882817268372e-04
2.525000037625432237e-01,-3.505999920889735222e-04
2.533333371082941432e-01,-3.511999966576695442e-04
2.541666704540451183e-01,-3.519000019878149033e-04
2.550000037997960933e-01,-3.528000088408589363e-04
2.558333371455470684e-01,-3.536999865900725126e-04
2.566666704912980435e-01,-3.548999957274645567e-04
2.575000038370490185e-01,-3.561000048648566008e-04
2.583333371827999936e-01,-3.573999856598675251e-04
2.591666705285509686e-01,-3.588999970816075802e-04
2.600000038743018882e-01,-3.604000085033476353e-04
2.608333372200528633e-01,-3.620999923441559076e-04
2.616666705658038383e-01,-3.639000060502439737e-04
2.625000039115548134e-01,-3.656999906525015831e-04
2.633333372573057884e-01,-3.676000051200389862e-04
2.641666706030567635e-01,-3.695999912451952696e-04
2.650000039488077386e-01,-3.716000064741820097e-04
2.658333372945586581e-01,-3.736999933607876301e-04
2.666666706403096332e-01,-3.759000101126730442e-04
2.675000039860606083e-01,-3.780999977607280016e-04
2.683333373318115833e-01,-3.803000145126134157e-04
2.691666706775625584e-01,-3.825000021606683731e-04
2.700000040233135334e-01,-3.847999905701726675e-04
2.708333373690645085e-01,-3.871000080835074186e-04
2.716666707148154836e-01,-3.893999964930117130e-04
2.725000040605664031e-01,-3.917000140063464642e-04
2.733333374063173782e-01,-3.940000024158507586e-04
2.741666707520683532e-01,-3.961999900639057159e-04
